year,id_,hrs2,wrkslf,spwrkslf,hapmar,divlaw,xmarsex,wkvsfam,stress,relatsex,ballot,lifenow,RBIOPRNT
2022,21,.i:  Inapplicable,Someone else,SELF-EMPLOYED,PRETTY HAPPY,.i:  Inapplicable,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,No
2022,22,.i:  Inapplicable,Someone else,SOMEONE ELSE,PRETTY HAPPY,.i:  Inapplicable,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,.i:  Inapplicable
2022,23,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,.i:  Inapplicable
2022,24,.i:  Inapplicable,Someone else,SOMEONE ELSE,NOT TOO HAPPY,.i:  Inapplicable,.s:  Skipped on Web,Rarely,Sometimes,.i:  Inapplicable,Ballot a,8,.i:  Inapplicable
2022,25,.i:  Inapplicable,Self-employed,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,Never,Sometimes,.i:  Inapplicable,Ballot a,9,Yes
2022,26,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALMST ALWAYS WRG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,.i:  Inapplicable
2022,27,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,.i:  Inapplicable,ALWAYS WRONG,Rarely,Sometimes,.i:  Inapplicable,Ballot c,9,.i:  Inapplicable
2022,28,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,.i:  Inapplicable
2022,29,.i:  Inapplicable,.n:  No answer,SOMEONE ELSE,VERY HAPPY,.i:  Inapplicable,ALMST ALWAYS WRG,.n:  No answer,.n:  No answer,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,8,Yes
2022,30,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,Easier,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot b,.i:  Inapplicable,.i:  Inapplicable
2022,31,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,.i:  Inapplicable,ALWAYS WRONG,Never,Hardly ever,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,8,.i:  Inapplicable
2022,32,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,Ballot c,.i:  Inapplicable,.i:  Inapplicable
2022,33,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot b,.i:  Inapplicable,.i:  Inapplicable
2022,34,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,.i:  Inapplicable,.i:  Inapplicable
2022,35,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,ALMST ALWAYS WRG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,.i:  Inapplicable
2022,36,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,ALWAYS WRONG,Never,Hardly ever,.i:  Inapplicable,Ballot a,4,.i:  Inapplicable
2022,37,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot b,.i:  Inapplicable,.i:  Inapplicable
2022,38,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,"No, the last time i had sex, it was not with someone i was in an on-going relationship with",Ballot b,.i:  Inapplicable,.i:  Inapplicable
2022,39,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,.i:  Inapplicable,ALWAYS WRONG,Rarely,Often,.i:  Inapplicable,Ballot a,9,.i:  Inapplicable
2022,40,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,Rarely,Sometimes,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,8,.i:  Inapplicable
2022,41,.i:  Inapplicable,Someone else,SOMEONE ELSE,PRETTY HAPPY,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,Sometimes,Often,.i:  Inapplicable,Ballot b,9,.i:  Inapplicable
2022,42,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,.i:  Inapplicable,.i:  Inapplicable
2022,43,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot b,.i:  Inapplicable,.i:  Inapplicable
2022,44,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,ALWAYS WRONG,Often,Hardly ever,.i:  Inapplicable,Ballot a,9,.i:  Inapplicable
2022,45,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,.i:  Inapplicable,.i:  Inapplicable
2022,46,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,SOMETIMES WRONG,Sometimes,Always,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,Best possible state,.i:  Inapplicable
2022,47,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,More difficult,ALWAYS WRONG,Often,Sometimes,.i:  Inapplicable,Ballot a,9,.i:  Inapplicable
2022,48,.i:  Inapplicable,Someone else,SOMEONE ELSE,PRETTY HAPPY,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot b,.i:  Inapplicable,Yes
2022,49,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,.i:  Inapplicable,ALMST ALWAYS WRG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,.i:  Inapplicable
2022,50,.i:  Inapplicable,Someone else,SELF-EMPLOYED,VERY HAPPY,.i:  Inapplicable,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,.i:  Inapplicable,.i:  Inapplicable
2022,51,.i:  Inapplicable,Someone else,SOMEONE ELSE,PRETTY HAPPY,.i:  Inapplicable,NOT WRONG AT ALL,Rarely,Hardly ever,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,Best possible state,.i:  Inapplicable
2022,52,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,.i:  Inapplicable,ALWAYS WRONG,Sometimes,Sometimes,.i:  Inapplicable,Ballot a,6,Yes
2022,53,.i:  Inapplicable,Self-employed,SOMEONE ELSE,PRETTY HAPPY,.i:  Inapplicable,ALWAYS WRONG,Sometimes,Sometimes,.i:  Inapplicable,Ballot c,.d:  Do not Know/Cannot Choose,.i:  Inapplicable
2022,54,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,.i:  Inapplicable,.i:  Inapplicable,Never,Sometimes,.i:  Inapplicable,Ballot b,8,.i:  Inapplicable
2022,55,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,.i:  Inapplicable,ALWAYS WRONG,Often,Often,.i:  Inapplicable,Ballot c,9,Yes
2022,56,.i:  Inapplicable,Someone else,.s:  Skipped on Web,NOT TOO HAPPY,.i:  Inapplicable,ALMST ALWAYS WRG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,.i:  Inapplicable
2022,57,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,.i:  Inapplicable,Sometimes,Sometimes,.i:  Inapplicable,Ballot b,4,.i:  Inapplicable
2022,58,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,Yes
2022,59,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALMST ALWAYS WRG,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,.i:  Inapplicable,Yes
2022,60,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,.i:  Inapplicable
2022,61,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALMST ALWAYS WRG,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,.i:  Inapplicable,.i:  Inapplicable
2022,62,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,Never,Sometimes,.d:  Do not Know/Cannot Choose,Ballot c,6,.i:  Inapplicable
2022,63,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,"No, the last time i had sex, it was not with someone i was in an on-going relationship with",Ballot b,.i:  Inapplicable,.i:  Inapplicable
2022,64,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,NOT WRONG AT ALL,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c,.i:  Inapplicable,.i:  Inapplicable
2022,65,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALMST ALWAYS WRG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c,.i:  Inapplicable,.i:  Inapplicable
2022,66,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.s:  Skipped on Web,Sometimes,.d:  Do not Know/Cannot Choose,Ballot b,.s:  Skipped on Web,.s:  Skipped on Web
2022,67,.i:  Inapplicable,Self-employed,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,Never,Sometimes,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,9,.i:  Inapplicable
2022,68,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,ALMST ALWAYS WRG,Rarely,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,Ballot a,8,.i:  Inapplicable
2022,69,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,ALMST ALWAYS WRG,Rarely,Often,.i:  Inapplicable,Ballot a,6,.i:  Inapplicable
2022,70,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Stay as is,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot b,.i:  Inapplicable,.i:  Inapplicable
2022,71,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,ALMST ALWAYS WRG,Rarely,Never,.i:  Inapplicable,Ballot a,.d:  Do not Know/Cannot Choose,.i:  Inapplicable
2022,72,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,Never,Sometimes,.i:  Inapplicable,Ballot a,Best possible state,.i:  Inapplicable
2022,73,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,.i:  Inapplicable,Rarely,Never,.i:  Inapplicable,Ballot b,6,.i:  Inapplicable
2022,74,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Stay as is,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,.i:  Inapplicable
2022,75,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALMST ALWAYS WRG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,.i:  Inapplicable
2022,76,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,More difficult,.i:  Inapplicable,Sometimes,Sometimes,.i:  Inapplicable,Ballot b,6,.i:  Inapplicable
2022,77,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,.i:  Inapplicable,.i:  Inapplicable
2022,78,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,Never,Sometimes,.i:  Inapplicable,Ballot a,8,.i:  Inapplicable
2022,79,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot b,.i:  Inapplicable,.i:  Inapplicable
2022,80,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,.i:  Inapplicable,Never,Often,.i:  Inapplicable,Ballot b,7,.i:  Inapplicable
2022,81,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,.i:  Inapplicable,.i:  Inapplicable,Rarely,Sometimes,.i:  Inapplicable,Ballot b,.n:  No answer,.i:  Inapplicable
2022,82,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALMST ALWAYS WRG,Often,Often,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,7,.i:  Inapplicable
2022,83,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,.i:  Inapplicable,.i:  Inapplicable,Sometimes,Sometimes,.i:  Inapplicable,Ballot b,9,.i:  Inapplicable
2022,84,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Stay as is,.i:  Inapplicable,Rarely,Hardly ever,.i:  Inapplicable,Ballot b,4,.i:  Inapplicable
2022,85,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,.i:  Inapplicable
2022,86,.i:  Inapplicable,Self-employed,.i:  Inapplicable,.i:  Inapplicable,Easier,SOMETIMES WRONG,Never,Sometimes,.i:  Inapplicable,Ballot a,.d:  Do not Know/Cannot Choose,.i:  Inapplicable
2022,87,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Easier,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,Ballot b,.i:  Inapplicable,.i:  Inapplicable
2022,88,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,SOMETIMES WRONG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,.i:  Inapplicable
2022,89,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Never,Sometimes,"No, the last time i had sex, it was not with someone i was in an on-going relationship with",Ballot b,9,.i:  Inapplicable
2022,90,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,Rarely,Sometimes,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot b,9,.i:  Inapplicable
2022,91,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,.d:  Do not Know/Cannot Choose,ALMST ALWAYS WRG,Rarely,Sometimes,.i:  Inapplicable,Ballot a,9,.i:  Inapplicable
2022,92,.i:  Inapplicable,Self-employed,.i:  Inapplicable,.i:  Inapplicable,Easier,SOMETIMES WRONG,Sometimes,Sometimes,.i:  Inapplicable,Ballot a,7,.i:  Inapplicable
2022,93,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot b,.i:  Inapplicable,.i:  Inapplicable
2022,94,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,.i:  Inapplicable,Never,Never,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot b,9,.i:  Inapplicable
2022,95,.i:  Inapplicable,Self-employed,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Never,Sometimes,.i:  Inapplicable,Ballot b,8,.i:  Inapplicable
2022,96,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,SOMETIMES WRONG,Rarely,Hardly ever,.i:  Inapplicable,Ballot a,8,.i:  Inapplicable
2022,97,.i:  Inapplicable,Someone else,SOMEONE ELSE,PRETTY HAPPY,.i:  Inapplicable,.i:  Inapplicable,Often,Always,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot b,8,Yes
2022,98,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,.i:  Inapplicable,.i:  Inapplicable
2022,99,.i:  Inapplicable,Someone else,.i:  Inapplicable,VERY HAPPY,Stay as is,.i:  Inapplicable,Rarely,Sometimes,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot b,9,Yes
2022,100,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,ALWAYS WRONG,Never,Hardly ever,.i:  Inapplicable,Ballot a,8,.i:  Inapplicable
2022,101,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,NOT WRONG AT ALL,Never,Often,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,7,.i:  Inapplicable
2022,102,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALMST ALWAYS WRG,Sometimes,Often,.s:  Skipped on Web,Ballot c,8,.i:  Inapplicable
2022,103,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,SOMETIMES WRONG,Sometimes,Often,"No, the last time i had sex, it was not with someone i was in an on-going relationship with",Ballot c,5,.i:  Inapplicable
2022,104,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,.i:  Inapplicable,Often,Sometimes,.i:  Inapplicable,Ballot b,6,.i:  Inapplicable
2022,105,.i:  Inapplicable,Someone else,SOMEONE ELSE,NOT TOO HAPPY,.i:  Inapplicable,SOMETIMES WRONG,Never,Often,.i:  Inapplicable,Ballot c,7,.i:  Inapplicable
2022,106,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,Rarely,Often,.i:  Inapplicable,Ballot a,8,.i:  Inapplicable
2022,107,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,Stay as is,.i:  Inapplicable,Often,Often,.i:  Inapplicable,Ballot b,8,.i:  Inapplicable
2022,108,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,.i:  Inapplicable,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,.i:  Inapplicable,.i:  Inapplicable
2022,109,.i:  Inapplicable,Someone else,SELF-EMPLOYED,VERY HAPPY,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot b,.i:  Inapplicable,.i:  Inapplicable
2022,110,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,.i:  Inapplicable
2022,111,.i:  Inapplicable,Self-employed,SOMEONE ELSE,VERY HAPPY,.i:  Inapplicable,.i:  Inapplicable,Rarely,Often,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot b,Best possible state,.i:  Inapplicable
2022,112,50,Someone else,SOMEONE ELSE,VERY HAPPY,Easier,SOMETIMES WRONG,Sometimes,Sometimes,.i:  Inapplicable,Ballot a,Best possible state,.i:  Inapplicable
2022,113,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,SOMETIMES WRONG,Never,Sometimes,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,9,.i:  Inapplicable
2022,114,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Stay as is,.i:  Inapplicable,Rarely,Sometimes,.i:  Inapplicable,Ballot b,8,.i:  Inapplicable
2022,115,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,More difficult,NOT WRONG AT ALL,Never,Never,.i:  Inapplicable,Ballot a,.n:  No answer,.i:  Inapplicable
2022,116,.i:  Inapplicable,Someone else,.i:  Inapplicable,VERY HAPPY,.i:  Inapplicable,.i:  Inapplicable,Never,Sometimes,.s:  Skipped on Web,Ballot b,6,.s:  Skipped on Web
